tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
0 , 48 , 45 , 32 , 26 , 3
0 , 51 , 42 , 32 , 26 , 3
0 , 20 , 20 , 32 , 28 , 3
0 , 32 , 27 , 32 , 28 , 3
0 , 48 , 45 , 31 , 26 , 3
0 , 20 , 80 , 32 , 28 , 3
0 , 49 , 44 , 32 , 26 , 3
0 , 20 , 20 , 32 , 28 , 3
0 , 45 , 49 , 32 , 26 , 3
0 , 32 , 28 , 32 , 28 , 3
0 , 150 , 30 , 35 , 24 , 3
0 , 52 , 42 , 32 , 25 , 3
0 , 20 , 67 , 32 , 28 , 3
0 , 58 , 34 , 32 , 26 , 3
0 , 28 , 64 , 32 , 28 , 3
0 , 38 , 525 , 34 , 26 , 3
0 , 20 , 20 , 32 , 28 , 3
0 , 48 , 46 , 32 , 26 , 3
0 , 20 , 20 , 32 , 28 , 3
0 , 53 , 40 , 32 , 26 , 3
0 , 186 , 33 , 36 , 24 , 3
0 , 40 , 55 , 32 , 26 , 3
0 , 20 , 20 , 32 , 28 , 3
0 , 20 , 20 , 32 , 28 , 3
0 , 32 , 27 , 32 , 28 , 3
